Mixture	Mucus_secretory_1	Early secretory	Mucus_secretory_2	Ciliated	Differentiating_basal	Basal	P-value	Correlation	RMSE
HBEC152328_BSA_A	0.37837273654004	0	0.0546711174879033	0.233803141580083	0.31880950536513	0.0143434990268429	0	0.898475267807223	0.442887555682283
HBEC152328_IL13_A	0	0.594990586273466	0.156339569089784	0.00179008238605721	0.183123181217897	0.063756581032795	0	0.852026384675018	0.597327789646771
HBEC153087_BSA_A	0.287802259812473	0	0.0432909129336076	0.402250162362354	0.249781203065906	0.0168754618256596	0	0.817909292236775	0.595050811925932
HBEC153087_IL13_A	0	0.428677462994681	0.356361897065779	0.0561221606043704	0.113243805330271	0.0455946740048981	0	0.79405473881513	0.611657674594749
HBEC153109_BSA_H	0.22493775392465	0	0.110977570306162	0.12430848780797	0.47596477607465	0.0638114118865679	0	0.622913866882937	0.78224010440043
HBEC153109_IL13_H	0	0.270973732192625	0.285187149887043	0.0173598545370842	0.346568971943752	0.0799102914394966	0	0.821251479008165	0.616782976481639
HBEC153173_BSA_H	0	0.0843124216369502	0.223382075963741	0.387574913446213	0.253358136357249	0.0513724525958465	0	0.575594834458893	0.828348040884454
HBEC153173_IL13_H	0	0.245853443007412	0.360463609253	0	0.335861707710604	0.0578212400289837	0	0.600440758445798	0.80227887764629
HBEC153724_BSA_A	0.297654070747168	0	0.140666298369921	0.135889263816831	0.42579036706608	0	0	0.718450936554954	0.699469844779821
HBEC153724_IL13_A	0	0.439611588355431	0.354013921895776	0	0.176766018466745	0.0296084712820485	0	0.807777927272115	0.59472655890437
HBEC153741_BSA_H	0.159305946943815	0.326681860592251	0.0712499901693993	0.218133530758612	0.135314737568993	0.0893139339669294	0	0.893118231326467	0.539997925986232
HBEC153741_IL13_H	0	0.641514817803846	0.158648869247388	0.0142099138604503	0.0845165368311435	0.101109862257172	0	0.864893548667937	0.575312435457163
HBEC153832_BSA_A	0.021907280076442	0.101212938769151	0.0214375532497599	0.519742557432473	0.221954128235209	0.113745542236965	0	0.770501919119954	0.82472908514938
HBEC153832_IL13_A	0	0.415564071237481	0.205443936464414	0.0337502688055071	0.248215386995483	0.0970263364971149	0	0.637022112933569	0.776032580998141
HBEC153870_BSA_H	0.202097607303777	0	0.136610263118768	0.379161193458	0.250711584460271	0.0314193516591849	0	0.825339030625654	0.600213926428245
HBEC153870_IL13_H	0	0.306238430158758	0.408590641242565	0.0367837237745048	0.161216820630365	0.0871703841938078	0	0.790771456359185	0.613798504374778
HBEC154142_BSA_A	0.019050207002914	0.116586785715253	0.204307754373227	0.4483746412069	0.035211646727445	0.176468964974261	0	0.809960345670611	0.687445645315307
HBEC154142_IL13_A	0	0.494932993914391	0.21938601345769	0.11971935141129	0.119482723835361	0.0464789173812695	0	0.843106692478579	0.594372391722496
