eig	comparison
HBEC152328_BSA_A	-0.231753680929807	Bronch_brown_BSA
HBEC152328_IL13_A	0.0436893558027445	Bronch_brown_IL13
HBEC153087_BSA_A	-0.155646824396711	Bronch_brown_BSA
HBEC153087_IL13_A	0.195451893308386	Bronch_brown_IL13
HBEC153109_BSA_H	-0.0907056559830866	Bronch_brown_BSA
HBEC153109_IL13_H	0.165692332778325	Bronch_brown_IL13
HBEC153173_BSA_H	-0.110113513108005	Bronch_brown_BSA
HBEC153173_IL13_H	0.231016898677982	Bronch_brown_IL13
HBEC153724_BSA_A	-0.147407342297843	Bronch_brown_BSA
HBEC153724_IL13_A	0.193779626789349	Bronch_brown_IL13
HBEC153741_BSA_H	-0.116217236995608	Bronch_brown_BSA
HBEC153741_IL13_H	0.134210402689483	Bronch_brown_IL13
HBEC153832_BSA_A	-0.131575115093383	Bronch_brown_BSA
HBEC153832_IL13_A	0.207737358593525	Bronch_brown_IL13
HBEC153870_BSA_H	-0.154339718787301	Bronch_brown_BSA
HBEC153870_IL13_H	0.193683937999562	Bronch_brown_IL13
HBEC154142_BSA_A	-0.13213771297773	Bronch_brown_BSA
HBEC154142_IL13_A	0.18719143998706	Bronch_brown_IL13
HBEC154417_BSA_A	-0.125948967200468	Bronch_brown_BSA
HBEC154417_IL13_A	0.205230870681006	Bronch_brown_IL13
HBEC154566_BSA_A	-0.224967957612644	Bronch_brown_BSA
HBEC154566_IL13_A	0.0656890432440126	Bronch_brown_IL13
HBEC154651_BSA_A	-0.153929380301614	Bronch_brown_BSA
HBEC154651_IL13_A	0.109665799803752	Bronch_brown_IL13
HBEC154711_BSA_A	-0.164764948544224	Bronch_brown_BSA
HBEC154711_IL13_A	0.154039720018994	Bronch_brown_IL13
HBEC154717_BSA_A	-0.23560805515027	Bronch_brown_BSA
HBEC154717_IL13_A	0.117580849591813	Bronch_brown_IL13
HBEC154741_BSA_A	-0.183697064278944	Bronch_brown_BSA
HBEC154741_IL13_A	0.194785594926581	Bronch_brown_IL13
HBEC154783_BSA_A	-0.0883645514554267	Bronch_brown_BSA
HBEC154783_IL13_A	0.0977156906929658	Bronch_brown_IL13
HBEC155404_BSA_H	-0.167158535913005	Bronch_brown_BSA
HBEC155404_IL13_H	0.112200799647883	Bronch_brown_IL13
HBEC156466_BSA_A	-0.15693959221742	Bronch_brown_BSA
HBEC156466_IL13_A	0.181980990632433	Bronch_brown_IL13
HBEC156680_BSA_H	-0.182246675225287	Bronch_brown_BSA
HBEC156680_IL13_H	0.16217992260292	Bronch_brown_IL13
HTE0112.CTL.1	-0.163090219564229	Trach_brown_BSA
HTE0112.IL13.1	0.0702943337061723	Trach_brown_IL13
HTE0113.CTL.1	-0.0362811927423498	Trach_brown_BSA
HTE0113.IL13.1	0.150748470606271	Trach_brown_IL13
HTE0211.CTL.1	-0.0772787792475234	Trach_brown_BSA
HTE0211.IL13.1	0.11112154581045	Trach_brown_IL13
HTE0213.CTL.1	-0.128316413293823	Trach_brown_BSA
HTE0213.IL13.1	0.0820683731748204	Trach_brown_IL13
HTE0214.CTL.1	-0.0726617175403993	Trach_brown_BSA
HTE0214.IL13.1	0.0890733558287265	Trach_brown_IL13
HTE0311.CTL.1	-0.121317448273166	Trach_brown_BSA
HTE0311.IL13.1	0.0719186979009497	Trach_brown_IL13
HTE0313.CTL.1	-0.0878756395540771	Trach_brown_BSA
HTE0313.IL13.1	0.128087475472652	Trach_brown_IL13
HTE0314.CTL.1	-0.0903499567381211	Trach_brown_BSA
HTE0314.IL13.1	0.127125450749856	Trach_brown_IL13
HTE0411.CTL.1	-0.0662487386893109	Trach_brown_BSA
HTE0411.IL13.1	0.22088105539324	Trach_brown_IL13
HTE0613.CTL.1	-0.117806187194695	Trach_brown_BSA
HTE0613.IL13.1	0.0697838586577859	Trach_brown_IL13
HTE0614.CTL.1	-0.100005233095255	Trach_brown_BSA
HTE0614.IL13.1	0.0812112848720006	Trach_brown_IL13
HTE0714.CTL.1	-0.0978771078471697	Trach_brown_BSA
HTE0714.IL13.1	-0.0210278607037136	Trach_brown_IL13
HTE0812.CTL.1	-0.074005992787505	Trach_brown_BSA
HTE0812.IL13.1	0.111699004327848	Trach_brown_IL13
HTE0813.CTL.1	-0.0967632784161886	Trach_brown_BSA
HTE0813.IL13.1	0.152580755413257	Trach_brown_IL13
HTE0914.CTL.1	-0.0677397754524619	Trach_brown_BSA
HTE0914.IL13.1	0.044688863658539	Trach_brown_IL13
HTE1011.CTL.1	-0.0590752998162072	Trach_brown_BSA
HTE1011.IL13.1	0.296300632585663	Trach_brown_IL13
HTE1013.CTL.1	-0.0929449187433141	Trach_brown_BSA
HTE1013.IL13.1	0.243096130621666	Trach_brown_IL13
HTE1311.CTL.1	-0.0780272095824584	Trach_brown_BSA
HTE1311.IL13.1	0.140233976462226	Trach_brown_IL13
HTE1313.CTL.1	-0.0556564278169367	Trach_brown_BSA
HTE1313.IL13.1	0.0783661881680693	Trach_brown_IL13
HTE1412.CTL.1	-0.0662323311251529	Trach_brown_BSA
HTE1412.IL13.1	0.12658416042784	Trach_brown_IL13
HTE1415.CTL.1	-0.112638759905581	Trach_brown_BSA
HTE1415.IL13.1	-0.0271706763245055	Trach_brown_IL13
HTE1513.CTL.1	-0.0741785121393187	Trach_brown_BSA
HTE1513.IL13.1	0.164034877948789	Trach_brown_IL13
HTE1611.CTL.1	-0.06917280390347	Trach_brown_BSA
HTE1611.IL13.1	0.199391262703662	Trach_brown_IL13
HTE1614.CTL.1	-0.11952107550049	Trach_brown_BSA
HTE1614.IL13.1	0.0401545100794615	Trach_brown_IL13
HTE1815.CTL.2	-0.180822893188061	Trach_brown_BSA
HTE1815.IL13.2	-0.0489621115206485	Trach_brown_IL13
HTE2112.CTL.1	-0.0636214091116387	Trach_brown_BSA
HTE2112.IL13.1	0.137781269037952	Trach_brown_IL13
HTE2315.CTL.2	-0.152338558615295	Trach_brown_BSA
HTE2315.IL13.2	0.00351937579713923	Trach_brown_IL13
HTE2413.CTL.1	-0.121382196790403	Trach_brown_BSA
HTE2413.IL13.1	-0.0625233436760787	Trach_brown_IL13
HTE2414.CTL.1	-0.0949442849565815	Trach_brown_BSA
HTE2414.IL13.1	0.0122744614270855	Trach_brown_IL13
HTE2512.CTL.1	-0.119172545527269	Trach_brown_BSA
HTE2512.IL13.1	6.15952094085652e-06	Trach_brown_IL13
HTE2712.CTL.1	-0.145469773332524	Trach_brown_BSA
HTE2712.IL13.1	0.0898692749606583	Trach_brown_IL13
HTE2912.CTL.1	-0.0758785363368706	Trach_brown_BSA
HTE2912.IL13.1	0.141761593456194	Trach_brown_IL13
HTE3112.CTL.1	-0.103455468327864	Trach_brown_BSA
HTE3112.IL13.1	0.132978770905942	Trach_brown_IL13
HTE3313.CTL.1	-0.0680995928736609	Trach_brown_BSA
HTE3313.IL13.1	0.101642434460687	Trach_brown_IL13
HTE3413.CTL.1	-0.0887157627780968	Trach_brown_BSA
HTE3413.IL13.1	0.175831470508625	Trach_brown_IL13
HTE3415.CTL.2	-0.123309407936771	Trach_brown_BSA
HTE3415.IL13.2	0.117315047233851	Trach_brown_IL13
HTE3513.CTL.1	-0.0856274877300792	Trach_brown_BSA
HTE3513.IL13.1	0.0851258453487354	Trach_brown_IL13
HTE4013.CTL.2	-0.100819077369628	Trach_brown_BSA
HTE4013.IL13.2	0.013334768304951	Trach_brown_IL13
HTE4313.CTL.1	-0.0809663184762307	Trach_brown_BSA
HTE4313.IL13.1	0.0491710895833682	Trach_brown_IL13
HTE4513.CTL.1	-0.0879022748016139	Trach_brown_BSA
HTE4513.IL13.1	0.117218774230662	Trach_brown_IL13
HBEC152328_BSA_A1	-0.211011481765948	Bronch_purple_BSA
HBEC152328_IL13_A1	0.0345562029366578	Bronch_purple_IL13
HBEC153087_BSA_A1	-0.125705752123065	Bronch_purple_BSA
HBEC153087_IL13_A1	0.211821035166233	Bronch_purple_IL13
HBEC153109_BSA_H1	-0.156011240708083	Bronch_purple_BSA
HBEC153109_IL13_H1	0.0664391453477831	Bronch_purple_IL13
HBEC153173_BSA_H1	-0.11409197405374	Bronch_purple_BSA
HBEC153173_IL13_H1	0.197824165558838	Bronch_purple_IL13
HBEC153724_BSA_A1	-0.116735881792013	Bronch_purple_BSA
HBEC153724_IL13_A1	0.233597122414309	Bronch_purple_IL13
HBEC153741_BSA_H1	-0.126567933295596	Bronch_purple_BSA
HBEC153741_IL13_H1	0.124634760941028	Bronch_purple_IL13
HBEC153832_BSA_A1	-0.150132819400975	Bronch_purple_BSA
HBEC153832_IL13_A1	0.151219125431959	Bronch_purple_IL13
HBEC153870_BSA_H1	-0.137528042013437	Bronch_purple_BSA
HBEC153870_IL13_H1	0.215305144229576	Bronch_purple_IL13
HBEC154142_BSA_A1	-0.125891636266337	Bronch_purple_BSA
HBEC154142_IL13_A1	0.214068497521984	Bronch_purple_IL13
HBEC154417_BSA_A1	-0.16596926355855	Bronch_purple_BSA
HBEC154417_IL13_A1	0.177923030303427	Bronch_purple_IL13
HBEC154566_BSA_A1	-0.229390260363317	Bronch_purple_BSA
HBEC154566_IL13_A1	0.126471704500248	Bronch_purple_IL13
HBEC154651_BSA_A1	-0.145696702830047	Bronch_purple_BSA
HBEC154651_IL13_A1	0.0965069064821747	Bronch_purple_IL13
HBEC154711_BSA_A1	-0.116544981697578	Bronch_purple_BSA
HBEC154711_IL13_A1	0.173137633701187	Bronch_purple_IL13
HBEC154717_BSA_A1	-0.213732076964175	Bronch_purple_BSA
HBEC154717_IL13_A1	0.166661977788143	Bronch_purple_IL13
HBEC154741_BSA_A1	-0.181658992056705	Bronch_purple_BSA
HBEC154741_IL13_A1	0.204756404276935	Bronch_purple_IL13
HBEC154783_BSA_A1	-0.149218326832504	Bronch_purple_BSA
HBEC154783_IL13_A1	0.0682442513549121	Bronch_purple_IL13
HBEC155404_BSA_H1	-0.135527655631787	Bronch_purple_BSA
HBEC155404_IL13_H1	0.125683794884805	Bronch_purple_IL13
HBEC156466_BSA_A1	-0.139463223296871	Bronch_purple_BSA
HBEC156466_IL13_A1	0.214182013242102	Bronch_purple_IL13
HBEC156680_BSA_H1	-0.207091009601521	Bronch_purple_BSA
HBEC156680_IL13_H1	0.144936338169946	Bronch_purple_IL13
HTE0112.CTL.11	-0.120473301237752	Trach_purple_BSA
HTE0112.IL13.11	0.0130788682722986	Trach_purple_IL13
HTE0113.CTL.11	-0.0749205006957168	Trach_purple_BSA
HTE0113.IL13.11	0.12157094340981	Trach_purple_IL13
HTE0211.CTL.11	-0.101736285859049	Trach_purple_BSA
HTE0211.IL13.11	0.0934238162503398	Trach_purple_IL13
HTE0213.CTL.11	-0.103541427202843	Trach_purple_BSA
HTE0213.IL13.11	0.109395301458913	Trach_purple_IL13
HTE0214.CTL.11	-0.0890878846893349	Trach_purple_BSA
HTE0214.IL13.11	0.103489872024782	Trach_purple_IL13
HTE0311.CTL.11	-0.1064435145206	Trach_purple_BSA
HTE0311.IL13.11	0.0931383090778703	Trach_purple_IL13
HTE0313.CTL.11	-0.10633277233323	Trach_purple_BSA
HTE0313.IL13.11	0.128442758231522	Trach_purple_IL13
HTE0314.CTL.11	-0.0652955310935981	Trach_purple_BSA
HTE0314.IL13.11	0.161653374155712	Trach_purple_IL13
HTE0411.CTL.11	-0.119206520553508	Trach_purple_BSA
HTE0411.IL13.11	0.167849987934504	Trach_purple_IL13
HTE0613.CTL.11	-0.0988344113086253	Trach_purple_BSA
HTE0613.IL13.11	0.0755020925051775	Trach_purple_IL13
HTE0614.CTL.11	-0.0958159354111089	Trach_purple_BSA
HTE0614.IL13.11	0.0734337888418521	Trach_purple_IL13
HTE0714.CTL.11	-0.0923300794843115	Trach_purple_BSA
HTE0714.IL13.11	0.0204792840041887	Trach_purple_IL13
HTE0812.CTL.11	-0.0922845301861706	Trach_purple_BSA
HTE0812.IL13.11	0.106712087101787	Trach_purple_IL13
HTE0813.CTL.11	-0.0695332059234276	Trach_purple_BSA
HTE0813.IL13.11	0.188009970523094	Trach_purple_IL13
HTE0914.CTL.11	-0.100068700096979	Trach_purple_BSA
HTE0914.IL13.11	0.00568539643073283	Trach_purple_IL13
HTE1011.CTL.11	-0.0572302482335223	Trach_purple_BSA
HTE1011.IL13.11	0.26420661103513	Trach_purple_IL13
HTE1013.CTL.11	-0.0482337069793867	Trach_purple_BSA
HTE1013.IL13.11	0.256122450401317	Trach_purple_IL13
HTE1311.CTL.11	-0.105682201863653	Trach_purple_BSA
HTE1311.IL13.11	0.134006121825872	Trach_purple_IL13
HTE1313.CTL.11	-0.0730947287397963	Trach_purple_BSA
HTE1313.IL13.11	0.0633179613915647	Trach_purple_IL13
HTE1412.CTL.11	-0.0676919120601551	Trach_purple_BSA
HTE1412.IL13.11	0.140659928542696	Trach_purple_IL13
HTE1415.CTL.11	-0.125768466220138	Trach_purple_BSA
HTE1415.IL13.11	-0.0381581995318916	Trach_purple_IL13
HTE1513.CTL.11	-0.0571164722284486	Trach_purple_BSA
HTE1513.IL13.11	0.203596666084412	Trach_purple_IL13
HTE1611.CTL.11	-0.0971115612719967	Trach_purple_BSA
HTE1611.IL13.11	0.184226049960135	Trach_purple_IL13
HTE1614.CTL.11	-0.118179318157318	Trach_purple_BSA
HTE1614.IL13.11	0.0288906786427692	Trach_purple_IL13
HTE1815.CTL.21	-0.149567877643905	Trach_purple_BSA
HTE1815.IL13.21	-0.0273222384625547	Trach_purple_IL13
HTE2112.CTL.11	-0.0886497332425018	Trach_purple_BSA
HTE2112.IL13.11	0.109623494109106	Trach_purple_IL13
HTE2315.CTL.21	-0.13891581291849	Trach_purple_BSA
HTE2315.IL13.21	0.0458710059290469	Trach_purple_IL13
HTE2413.CTL.11	-0.110675223715634	Trach_purple_BSA
HTE2413.IL13.11	-0.0482174115405923	Trach_purple_IL13
HTE2414.CTL.11	-0.104434598438231	Trach_purple_BSA
HTE2414.IL13.11	-0.00475855911363108	Trach_purple_IL13
HTE2512.CTL.11	-0.114858721832454	Trach_purple_BSA
HTE2512.IL13.11	0.00176574567509706	Trach_purple_IL13
HTE2712.CTL.11	-0.0763063859010927	Trach_purple_BSA
HTE2712.IL13.11	0.19268472672005	Trach_purple_IL13
HTE2912.CTL.11	-0.0953918279278729	Trach_purple_BSA
HTE2912.IL13.11	0.139254672158654	Trach_purple_IL13
HTE3112.CTL.11	-0.131093370709875	Trach_purple_BSA
HTE3112.IL13.11	0.112766692470471	Trach_purple_IL13
HTE3313.CTL.11	-0.0791982299275893	Trach_purple_BSA
HTE3313.IL13.11	0.0928044237129275	Trach_purple_IL13
HTE3413.CTL.11	-0.086100430148695	Trach_purple_BSA
HTE3413.IL13.11	0.152993863108447	Trach_purple_IL13
HTE3415.CTL.21	-0.0926818217907162	Trach_purple_BSA
HTE3415.IL13.21	0.160412855434745	Trach_purple_IL13
