gene	module
SEC24B-AS1	grey
A2ML1	brown
A4GALT	greenyellow
AAAS	darkred
AACS	greenyellow
AADAC	grey
AADAT	grey
AAGAB	grey
AAK1	grey
AAMP	grey
AARS	grey
AARS2	grey
PTGES3L-AARSD1	grey
AASDH	black
AASDHPPT	grey
AASS	grey
AATF	cyan
AATK	turquoise
ABAT	grey
ABCA1	grey
ABCA10	grey
ABCA12	grey
ABCA13	salmon
ABCA2	darkred
ABCA3	grey
ABCA4	grey
ABCA5	grey
ABCA6	grey
ABCA7	grey
ABCA9	grey
ABCB10	green
ABCB11	grey
ABCB6	salmon
ABCB7	grey
ABCB8	grey
ABCC1	grey
ABCC10	grey
ABCC2	turquoise
ABCC3	grey
ABCC4	grey
ABCC5	grey
ABCC6	red
ABCC9	grey
ABCD1	grey
ABCD2	green
ABCD3	blue
ABCD4	grey
ABCE1	grey
ABCF1	greenyellow
ABCF2	greenyellow
ABCF3	greenyellow
ABCG1	grey
ABCG2	turquoise
ABHD1	turquoise
ABHD10	black
ABHD11	grey
ABHD12	cyan
ABHD12B	grey
ABHD13	blue
ABHD14A	red
ABHD14B	grey
ABHD15	grey
ABHD16A	grey
ABHD16B	turquoise
ABHD2	greenyellow
ABHD3	grey
ABHD4	brown
ABHD5	lightgreen
ABHD6	red
ABHD8	grey
ABI1	greenyellow
ABI2	red
ABI3BP	grey
ABL1	greenyellow
ABL2	grey
ABLIM1	pink
ABLIM3	grey
ABO	grey
ABP1	brown
ABR	grey
ABT1	grey
ABTB1	grey
ABTB2	yellow
ACAA1	grey
ACAA2	grey
ACACA	greenyellow
ACACB	grey
ACAD10	lightyellow
ACAD8	grey
ACAD9	greenyellow
ACADL	turquoise
ACADM	black
ACADS	turquoise
ACADSB	grey
ACADVL	cyan
ACAP1	turquoise
ACAP2	grey
ACAP3	grey
ACAT1	green
ACAT2	grey
ACBD3	royalblue
ACBD4	turquoise
ACBD5	grey
ACBD6	grey
ACBD7	green
ASIC1	darkred
ASIC3	grey
ACCS	turquoise
ACD	grey
ACE	grey
ACE2	lightgreen
ACER2	grey
ACER3	brown
ACIN1	grey
ACLY	greenyellow
ACN9	blue
ACO1	grey
ACO2	greenyellow
ACOT11	grey
ACOT13	blue
ACOT2	yellow
ACOT4	grey
ACOT7	yellow
ACOT8	grey
ACOT9	grey
ACOX1	grey60
ACOX2	turquoise
ACOX3	grey
ACP1	blue
ACP2	yellow
ACP5	grey
ACP6	turquoise
ACPL2	grey60
ACPP	grey
ACRBP	grey
ACRC	grey
ACSF2	brown
ACSF3	darkred
ACSL1	brown
ACSL3	grey
ACSL4	grey
ACSL5	salmon
ACSM3	grey
ACTA1	grey
ACTA2	grey
ACTB	yellow
ACTBL2	turquoise
ACTG1	greenyellow
ACTL10	turquoise
ACTL6A	grey
ACTL7A	turquoise
ACTL7B	turquoise
ACTL9	turquoise
ACTN1	yellow
ACTN3	turquoise
ACTN4	greenyellow
ACTR10	blue
ACTR1A	grey60
ACTR1B	salmon
ACTR2	grey
ACTR3	grey
ACTR3B	grey
ACTR3BP2	turquoise
ACTR3C	black
ACTR5	grey
ACTR6	blue
ACTR8	grey
ACTRT1	turquoise
ACTRT2	turquoise
ACVR1	grey
ACVR1B	cyan
ACVR1C	grey
ACVR2A	brown
ACVR2B	darkred
ACY1	grey
ACY3	turquoise
ACYP1	black
ACYP2	grey
ADA	pink
ADAL	black
ADAM1A	turquoise
ADAM10	brown
ADAM11	turquoise
ADAM12	pink
ADAM15	grey
ADAM17	lightcyan
ADAM19	pink
ADAM21P1	turquoise
ADAM22	grey
ADAM23	grey
ADAM28	lightcyan
ADAM30	turquoise
ADAM32	grey
ADAM8	lightcyan
ADAM9	pink
ADAMTS1	pink
ADAMTS10	turquoise
ADAMTS13	grey
ADAMTS14	grey
ADAMTS15	grey
ADAMTS17	brown
ADAMTS3	black
ADAMTS5	pink
ADAMTS6	grey
ADAMTS7	pink
ADAMTS8	red
ADAMTS9	pink
ADAMTSL1	grey
ADAMTSL3	brown
ADAMTSL4	grey
ADAMTSL5	grey
ADAP1	grey
ADAP2	grey
ADAR	greenyellow
ADARB1	grey
ADAT1	salmon
ADAT2	grey
ADAT3	grey
ADCK1	grey
ADCK2	grey
ADCK3	darkred
ADCK4	red
ADCK5	turquoise
ADCY2	turquoise
ADCY3	grey
ADCY4	brown
ADCY6	greenyellow
ADCY7	lightcyan
ADCY9	grey
ADD1	greenyellow
ADD3	blue
ADH1A	turquoise
ADH1C	grey
ADH4	grey
ADH5	blue
ADH6	green
ADH7	grey
ADHFE1	grey
ADI1	grey60
ADIPOR1	grey
ADIPOR2	brown
ADK	grey
ADM	grey
ADNP	cyan
ADNP2	cyan
ADO	grey
ADORA2A	grey
ADORA2B	grey
ADPGK	grey
ADPRH	grey
ADPRHL1	red
ADPRHL2	grey
ADRA1B	grey
ADRA2A	brown
ADRA2B	turquoise
ADRA2C	turquoise
ADRB1	turquoise
ADRB2	grey
ADRBK1	brown
ADRBK2	grey
ADRM1	grey
ADSL	grey
ADSS	grey
ADSSL1	turquoise
AEBP1	turquoise
AEBP2	grey
AEN	pink
AES	grey
AFAP1	pink
AFAP1L1	grey
AFAP1L2	pink
AFF1	greenyellow
AFF4	yellow
AFG3L2	cyan
AFMID	grey
AFTPH	grey
AGA	grey
AGAP1	turquoise
AGAP3	yellow
AGAP7	grey
AGBL2	red
AGBL3	black
AGBL4	green
AGBL5	darkred
AGER	grey
AGFG2	grey
AGGF1	blue
AGK	grey
AGL	grey
AGMAT	grey
AGMO	grey
AGPAT1	cyan
AGPAT2	grey
AGPAT3	greenyellow
AGPAT4	grey
AGPAT5	green
AGPAT6	yellow
AGPAT9	turquoise
AGPHD1	grey
AGPS	grey
AGR2	grey
AGR3	black
AGRN	yellow
AGT	grey
AGTPBP1	black
AGTRAP	darkred
AGXT2L2	grey
AHCTF1	grey
AHCY	grey
AHCYL1	cyan
AHCYL2	brown
AHDC1	grey
AHI1	black
AHNAK	grey
AHNAK2	grey
AHR	grey
AHSA1	red
AHSA2	grey
AIDA	brown
AIF1L	grey
AIFM1	lightyellow
AIFM2	grey
AIG1	grey
AIM1	grey60
AIM1L	lightcyan
AIMP1	blue
AIMP2	grey
AIP	yellow
AJAP1	grey
AJUBA	grey
AK1	grey
AK2	grey
AK3	royalblue
AK4	turquoise
AK7	green
AK8	red
AKAP1	grey
AKAP10	grey
AKAP11	grey
AKAP12	pink
AKAP13	turquoise
AKAP14	green
AKAP17A	grey
AKAP6	red
AKAP7	black
AKAP8	grey
AKAP8L	grey
AKAP9	grey
AKD1	green
AKIP1	grey
AKIRIN1	grey
AKIRIN2	greenyellow
AKNA	darkred
AKR1A1	grey
AKR1B1	grey
AKR1B10	grey
AKR1C2	grey
AKR1C3	black
AKR1C4	black
AKR1CL1	grey
AKR1E2	grey
AKR7A2	red
AKR7A2P1	turquoise
AKR7A3	grey
AKT1	yellow
AKT1S1	grey
AKT2	grey
AKT3	grey
AKTIP	grey
ALAD	grey
ALAS1	grey
ALCAM	grey
ALDH16A1	grey
ALDH18A1	salmon
ALDH1A1	grey
ALDH1A3	yellow
ALDH1B1	pink
ALDH1L1	grey
ALDH1L2	grey
ALDH2	grey
ALDH3A1	grey
ALDH3A2	grey
ALDH3B1	red
ALDH3B2	grey
ALDH4A1	salmon
ALDH5A1	darkred
ALDH6A1	grey
ALDH7A1	grey
ALDH9A1	grey
ALDOC	brown
ALG1	grey
ALG10	grey
ALG11	grey
ALG12	greenyellow
ALG13	grey
ALG14	blue
ALG1L	grey
ALG2	yellow
ALG3	turquoise
ALG5	blue
ALG6	blue
ALG8	grey
ALG9	grey
ALKBH1	grey
ALKBH2	grey
ALKBH3	black
ALKBH4	grey
ALKBH5	grey
ALKBH6	grey
ALKBH7	grey
ALKBH8	grey
ALMS1	red
ALOX12	turquoise
ALOX15	brown
ALOX15B	brown
ALOX5	grey
ALOX5AP	grey
ALOXE3	grey
ALPI	turquoise
ALPK1	salmon
ALPK3	grey
ALPL	brown
ALPP	turquoise
ALS2	grey
ALS2CL	turquoise
ALS2CR12	red
ALS2CR8	black
ALX1	black
ALYREF	salmon
AMACR	grey
AMBRA1	greenyellow
AMD1	brown
AMDHD2	grey
AMFR	cyan
AMIGO1	salmon
AMIGO2	pink
AMIGO3	turquoise
AMMECR1	greenyellow
AMMECR1L	yellow
AMN	turquoise
AMN1	blue
AMOT	brown
AMOTL1	yellow
AMOTL2	yellow
AMPD2	yellow
AMPD3	grey
AMT	turquoise
AMTN	grey
AMZ2	black
AMZ2P1	black
ANAPC1	darkred
ANAPC10	blue
ANAPC13	blue
ANAPC16	blue
ANAPC2	salmon
ANAPC4	grey
ANAPC5	grey
ANAPC7	grey
ANGEL1	grey
ANGEL2	grey
ANGPT1	black
ANGPTL2	grey
ANGPTL4	grey
ANGPTL5	green
ANGPTL6	turquoise
ANGPTL7	turquoise
ANK1	yellow
ANKAR	grey
ANKDD1A	grey
ANKFN1	red
ANKFY1	greenyellow
ANKH	darkred
ANKIB1	lightgreen
ANKK1	grey
ANKLE2	lightcyan
ANKMY1	red
ANKMY2	blue
ANKRA2	blue
ANKRD1	grey
ANKRD10	grey
ANKRD11	greenyellow
ANKRD12	blue
ANKRD13A	royalblue
ANKRD13B	turquoise
ANKRD13C	grey
ANKRD13D	grey
ANKRD16	turquoise
ANKRD17	greenyellow
ANKRD18A	grey
ANKRD20A9P	turquoise
ANKRD22	royalblue
ANKRD23	green
ANKRD24	turquoise
ANKRD26	green
ANKRD27	grey
ANKRD28	grey
ANKRD29	grey
ANKRD31	grey
ANKRD32	black
ANKRD33B	grey
ANKRD34B	pink
ANKRD35	grey
ANKRD36	black
ANKRD36B	grey
ANKRD37	black
ANKRD39	grey
ANKRD40	grey
ANKRD42	green
ANKRD44	grey
ANKRD45	green
ANKRD46	grey
ANKRD49	blue
ANKRD5	darkred
ANKRD50	salmon
ANKRD52	grey60
ANKRD53	darkred
ANKRD54	red
ANKRD6	grey
ANKRD63	turquoise
ANKRD65	grey
ANKRD9	brown
ANKS1A	darkred
ANKS3	grey
ANKS6	grey
ANKUB1	green
ANKZF1	darkred
ANLN	green
ANO1	brown
ANO10	grey
ANO3	grey
ANO6	pink
ANO8	brown
ANO9	grey
ANP32A	grey
ANP32B	grey
ANP32C	turquoise
ANP32D	turquoise
ANP32E	black
ANPEP	grey
ANTXR1	grey
ANTXR2	grey
ANXA1	blue
ANXA10	black
ANXA11	greenyellow
ANXA2	grey
ANXA2P1	turquoise
ANXA2P3	turquoise
ANXA3	grey
ANXA4	brown
ANXA5	grey
ANXA6	lightcyan
ANXA7	lightyellow
ANXA9	grey
AOC2	grey
AOC3	grey
AOX1	grey
AP1AR	grey
AP1B1	greenyellow
AP1G1	greenyellow
AP1G2	grey
AP1M1	grey
AP1M2	grey
AP1S1	grey
AP1S2	grey
AP1S3	lightgreen
AP2A1	greenyellow
AP2A2	greenyellow
AP2B1	grey
AP2M1	yellow
AP2S1	greenyellow
AP3B1	royalblue
AP3B2	grey
AP3D1	greenyellow
AP3M1	yellow
AP3M2	red
AP3S1	grey
AP4E1	cyan
AP4M1	grey
APAF1	grey60
APBA1	grey
APBA2	grey
APBA3	grey
APBB1	turquoise
APBB2	grey
APBB3	grey
APC	greenyellow
APCDD1	grey
APCS	turquoise
APEH	grey
APEX2	grey60
APH1A	lightgreen
APH1B	grey
API5	grey60
APIP	blue
APLF	blue
APLNR	turquoise
APLP1	turquoise
APOA1	grey
APOA1BP	grey
APOB	turquoise
APOBEC3B	grey
APOBEC3C	brown
APOBEC3D	grey
APOBEC3F	darkred
APOBEC4	green
APOBR	turquoise
APOC1	grey
APOD	grey
APOE	pink
APOL1	brown
APOL2	turquoise
APOL3	grey
APOL4	grey
APOL6	greenyellow
APOM	turquoise
APOO	green
APOOL	grey
APP	pink
APPBP2	grey
APPL1	grey
APPL2	darkred
APRT	grey
APTX	grey
AQP10	turquoise
AQP3	grey
AQP4	grey
AQP5	grey
AQP7	red
AQP7P1	turquoise
AQP8	turquoise
AQR	grey
AR	grey
ARAF	yellow
ARAP1	grey
ARAP2	grey
ARAP3	grey
ARCN1	cyan
AREG	grey
ARF1	greenyellow
ARF3	grey
ARF4	grey
ARF5	brown
ARF6	grey
ARFGAP1	grey
ARFGAP2	grey
ARFGAP3	grey
ARFGEF1	grey
ARFGEF2	greenyellow
ARFIP1	blue
ARFIP2	grey
ARFRP1	grey
ARG2	grey
ARGFX	turquoise
ARGLU1	grey
ARHGAP1	greenyellow
ARHGAP10	lightgreen
ARHGAP11A	grey
ARHGAP11B	grey
ARHGAP12	grey
ARHGAP17	yellow
ARHGAP18	green
ARHGAP19	grey
ARHGAP20	grey
ARHGAP21	grey60
ARHGAP23	grey
ARHGAP24	grey
ARHGAP25	grey
ARHGAP26	grey
ARHGAP27	brown
ARHGAP29	grey
ARHGAP30	red
ARHGAP31	pink
ARHGAP32	turquoise
ARHGAP33	red
ARHGAP35	greenyellow
ARHGAP39	grey
ARHGAP4	grey
ARHGAP40	brown
ARHGAP42	grey
ARHGAP44	grey
ARHGAP5	blue
ARHGAP6	red
ARHGAP9	turquoise
ARHGDIA	grey
ARHGDIB	grey
ARHGEF1	cyan
ARHGEF10	yellow
ARHGEF10L	grey
ARHGEF11	greenyellow
ARHGEF12	greenyellow
ARHGEF16	lightcyan
ARHGEF17	grey
ARHGEF18	greenyellow
ARHGEF19	grey
ARHGEF2	yellow
ARHGEF3	grey60
ARHGEF33	green
ARHGEF35	grey
ARHGEF37	lightcyan
ARHGEF38	grey
ARHGEF40	yellow
ARHGEF6	grey
ARHGEF7	yellow
ARHGEF9	lightgreen
ARID1A	greenyellow
ARID1B	greenyellow
ARID2	grey
ARID3A	lightcyan
ARID3B	turquoise
ARID4A	grey
ARID4B	grey
ARID5A	yellow
ARID5B	grey
ARIH1	grey60
ARIH2	greenyellow
ARL1	grey
ARL10	grey
ARL11	grey
ARL13B	green
ARL14	grey
ARL15	grey
ARL16	black
ARL17A	grey
ARL2	grey
ARL2BP	grey
ARL3	green
ARL4A	green
ARL4C	grey
ARL4D	brown
ARL5A	blue
ARL5B	grey
ARL6	green
ARL6IP1	blue
ARL6IP4	grey
ARL6IP5	grey
ARL6IP6	blue
ARL8A	yellow
ARL8B	grey
ARL9	black
ARMC1	blue
ARMC10	grey
ARMC2	red
ARMC3	green
ARMC4	green
ARMC5	turquoise
ARMC6	grey
ARMC7	greenyellow
ARMC8	grey
ARMC9	red
ARMCX1	grey
ARMCX2	grey
ARMCX3	grey
ARMCX4	turquoise
ARMCX5	grey
ARMCX6	grey
ARNT	greenyellow
ARNT2	grey
ARNTL	grey
ARPC1A	yellow
ARPC1B	salmon
ARPC2	grey
ARPC3	grey
ARPC5	yellow
ARPC5L	turquoise
ACTRT3	grey
ARPP19	grey
ARRB1	salmon
ARRB2	lightyellow
ARRDC1	grey
ARRDC2	brown
ARRDC3	grey
ARRDC4	brown
ARSA	grey
ARSB	yellow
ARSD	grey
ARSE	grey
ARSI	grey
ARSJ	grey
ARSK	grey
ARTN	turquoise
ARV1	blue
ARVCF	grey
ARX	red
AS3MT	grey
ASAH1	grey
ASAP1	grey
ASAP2	yellow
ASAP3	grey
ASB1	grey
ASB11	grey
ASB13	grey
ASB14	green
ASB5	turquoise
ASB6	yellow
ASB7	salmon
ASB8	grey
ASB9	green
ASB9P1	turquoise
ASCC1	grey
ASCC2	greenyellow
ASCC3	grey
ASCL3	green
ASCL4	turquoise
ASF1A	grey
ASF1B	darkred
ASH1L	greenyellow
ASH2L	grey
ASL	darkred
ASMTL	grey
ASNA1	grey
ASNS	grey
ASNSD1	blue
ASPDH	turquoise
ASPH	grey60
ASPHD1	grey
ASPHD2	yellow
ASPM	grey
ASPRV1	turquoise
ASRGL1	grey
ASS1	grey
ASTE1	grey
ASUN	grey
ASXL1	grey
ASXL2	greenyellow
ATAD1	blue
ATAD2	grey
ATAD2B	grey
ATAD3A	darkred
ATAD3B	grey
ATAD3C	brown
ATAD5	grey
ATAT1	grey
ATE1	grey
ATF1	blue
ATF2	blue
ATF3	grey
ATF4	grey
ATF5	greenyellow
ATF6	grey
ATF6B	grey
ATF7	greenyellow
ATF7IP	grey
ATF7IP2	black
ATG10	blue
ATG12	grey
ATG14	blue
ATG16L1	grey
ATG16L2	grey
ATG2A	greenyellow
ATG2B	darkred
ATG3	blue
ATG4A	blue
ATG4B	grey
ATG4C	blue
ATG4D	grey
ATG5	blue
ATG7	grey
ATG9A	yellow
ATG9B	turquoise
ATHL1	grey
ATIC	grey
ATL1	black
ATL2	grey
ATL3	yellow
ATM	grey
ATMIN	yellow
ATN1	greenyellow
ATOH1	turquoise
ATOH7	turquoise
ATOH8	brown
ATOX1	grey
ATP10A	grey
ATP10B	grey
ATP10D	grey
ATP11A	greenyellow
ATP11B	lightgreen
ATP11C	grey
ATP12A	brown
ATP13A1	salmon
ATP13A2	yellow
ATP13A3	grey
ATP13A4	brown
ATP13A5	brown
ATP1A1	cyan
ATP1B1	lightcyan
ATP1B2	turquoise
ATP1B3	grey
ATP2A2	greenyellow
ATP2A3	grey
ATP2B1	grey
ATP2B2	turquoise
ATP2B4	grey
ATP2C1	grey
ATP2C2	grey
ATP5A1	grey
ATP5B	grey
ATP5C1	blue
ATP5D	grey
ATP5E	blue
ATP5EP2	turquoise
ATP5F1	blue
ATP5G1	grey
ATP5G2	blue
ATP5G3	blue
ATP5H	blue
ATP5I	blue
ATP5J	grey
ATP5L	blue
ATP5L2	turquoise
ATP5S	grey
ATP5SL	yellow
ATP6AP1	grey
ATP6AP1L	grey
ATP6AP2	grey
ATP6V0A1	grey60
ATP6V0A2	grey
ATP6V0A4	grey
ATP6V0B	royalblue
ATP6V0C	greenyellow
ATP6V0CP3	turquoise
ATP6V0D1	grey
ATP6V0D2	grey
ATP6V0E1	grey
