X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
ACADVL_ACADV	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
ACO2_ACON	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	4	0	0	0	0	0	0	0
ACP1_PPAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTA1_ACTS	0	14	0	20	0	0	0	16	0	0	27	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ACTA2_ACTA	0	0	0	0	0	0	0	0	0	0	0	0	10	12	11	19	0	0	0	12	0	0	0	14	0	0	0	11
ACTB_ACTB	0	25	0	0	17	20	0	24	16	26	44	0	21	27	21	34	23	0	23	24	0	0	0	22	26	21	19	22
ACTBL2_ACTBL	0	7	10	0	0	0	5	0	2	0	0	6	0	0	0	11	0	0	0	0	0	5	5	0	0	0	0	0
ACTC1_ACTC	22	0	0	0	10	10	0	0	0	11	0	0	0	0	0	0	15	0	12	0	20	14	13	0	0	0	0	0
ACTG1_ACTG	33	0	28	30	0	0	21	0	0	0	0	9	0	0	0	0	0	22	0	0	28	17	22	0	0	0	0	0
ACTG2_ACTH	0	0	17	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1_ACTN1	9	7	0	0	0	0	0	0	0	5	8	0	0	0	9	12	0	9	8	0	0	0	0	0	8	0	0	0
ACTN4_ACTN4	18	14	12	15	8	13	7	11	5	11	20	0	11	13	21	20	12	20	16	12	16	5	11	9	10	10	9	12
ACTR2_ARP2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACTR3_ARP3	5	5	3	1	0	0	2	0	0	0	3	2	0	0	0	4	0	4	0	2	0	4	0	3	0	0	0	0
ACTR3B_ARP3B	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADH1C_ADH1G	2	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADH7_ADH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0
AGR2_AGR2	5	6	6	5	2	6	8	4	2	5	9	3	3	8	5	8	3	4	3	9	5	4	0	5	0	0	6	9
AGR3_AGR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0
AGRN_AGRIN	4	5	1	0	1	4	0	0	0	7	6	0	0	3	6	11	4	3	1	4	2	0	2	3	5	3	0	1
AHCY_SAHH	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0
AHNAK_AHNK	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AIFM1_AIFM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AK1_KAD1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	3	0	0	3	1	0	0	0	0	0	0	0	0
AK2_KAD2	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	2	0	0	1	1	2	3	0	0	0	0	0	1
