1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
MUC5AC	156	85	173	169	158	156	143	183	138	166	132	169	155	164	83	120	93	119
FCGBP	75	89	68	142	59	137	50	155	87	151	75	148	66	143	68	122	51	112
PLEC	86	79	110	103	111	110	112	121	104	129	109	83	101	113	106	117	112	117
MUC5B	95	27	120	38	118	42	121	39	118	59	133	38	120	53	62	36	65	36
C3	126	95	110	62	117	94	109	78	118	112	106	77	111	84	91	67	88	80
AHNAK	47	40	85	70	81	73	83	80	68	84	78	75	80	84	77	87	77	84
MYH9	78	73	84	80	75	85	78	84	74	88	79	78	75	82	63	67	62	65
SPTAN1	52	53	70	63	65	77	73	75	59	79	58	70	64	77	66	79	65	75
DYNC1H1	56	36	66	61	63	68	67	75	45	78	66	62	71	70	55	74	73	81
FLNB	58	47	67	59	69	67	64	69	69	72	62	64	65	70	63	69	58	68
FN1	75	49	54	27	77	49	54	39	74	65	47	60	69	52	50	38	48	48
EPPK1	24	24	61	64	51	51	57	68	45	61	60	56	48	55	56	57	46	59
SPTBN1	28	39	55	48	55	55	52	54	45	59	40	47	54	55	51	58	46	59
MYH14	31	25	61	53	56	53	60	59	48	61	61	49	53	58	51	51	52	56
MUC2	9	26	11	57	9	36	9	34	8	27	7	66	9	53	7	27	8	33
IQGAP1	34	33	55	45	47	45	53	51	42	54	57	55	50	46	41	48	43	50
CLTC	42	35	51	51	49	52	55	59	41	60	54	53	47	56	35	47	39	50
HSPG2	37	48	26	30	25	55	24	43	34	42	41	33	26	50	31	43	29	36
MYOF	52	42	56	47	54	55	53	55	48	61	55	51	57	56	49	48	46	51
GSN	34	42	34	47	33	46	34	53	31	43	35	49	34	47	26	38	25	35
ALOX15	26	43	36	53	27	55	38	55	24	54	43	56	33	54	23	45	25	47
DSP	39	14	51	47	48	38	47	54	41	51	48	32	50	45	44	42	48	46
TNC	49	44	34	17	47	48	25	42	50	45	56	38	43	46	45	45	33	41
PIGR	49	43	48	54	48	53	51	54	51	53	53	48	52	51	46	52	43	49
ABCA13	15	6	48	32	34	32	37	42	22	25	50	44	52	44	35	37	37	40
TF	47	45	49	52	49	50	50	50	44	51	49	52	45	50	35	45	35	39
MUC16	49	32	52	40	45	32	52	48	46	43	49	50	47	42	36	34	37	33
KRT8	42	38	48	49	45	49	50	49	42	48	46	44	43	46	34	39	31	37
